Country,Coffee type,Total_domestic_consumption,Year,Consumption,Global_price,Year_num,Market_Size,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_STD_3,Consumption_Change_Lag1,Global_price_Lag1,Price_Change_Lag1,Consumption_Change
Gabon,Robusta,1123140,2015/16,30000.0,88.03652693079867,2015,Pequeño,31020.0,34980.0,58020.0,41340.0,14580.370365666298,-0.1132075471698113,100.419395178493,0.06695476187533456,-0.03288201160541582
Ghana,Robusta,9970800,2007/08,120000.0,86.63684072087334,2007,Pequeño,60000.0,95400.0,95400.0,83600.0,20438.19952931275,-0.37106918238993714,67.57924198506807,0.3365753272826444,1.0
Guatemala,Arabica/Robusta,590880000,2019/20,23580000.0,102.06056865628332,2019,Mediano,23700000.0,23700000.0,23400000.0,23600000.0,173205.08075688774,0.0,108.74478247537488,-0.13597107117728346,-0.005063291139240533
Guinea,Robusta,86730000,1994/95,3000000.0,117.24004905420666,1994,Pequeño,1980000.0,3750000.0,1500000.0,2410000.0,1185031.6451470822,-0.472,52.55466017316018,0.24466420506137299,0.5151515151515151
Guyana,Robusta,9203040,2015/16,540000.0,88.03652693079867,2015,Pequeño,534000.0,528000.0,522000.0,528000.0,6000.0,0.011363636363636465,100.419395178493,0.06695476187533456,0.011235955056179803
Haiti,Arabica,600600000,2019/20,20700000.0,130.55576145774515,2019,Mediano,20700000.0,20400000.0,19800000.0,20300000.0,458257.569495584,0.014705882352941124,132.7149266814104,0.2775247826504572,0.0
Honduras,Arabica,471850680,2019/20,21000000.0,130.55576145774515,2019,Mediano,22500000.0,22500000.0,22200000.0,22400000.0,173205.08075688774,0.0,132.7149266814104,-0.11967040977234356,-0.06666666666666665
India,Arabica/Robusta,2093460000,2019/20,87000000.0,102.06056865628332,2019,Grande,88500000.0,88200000.0,86400000.0,87700000.0,1135781.6691600548,0.00340136054421758,108.74478247537488,-0.13597107117728346,-0.016949152542372836
Indonesia,Arabica/Robusta,4920480000,2019/20,288360000.0,102.06056865628332,2019,Grande,288000000.0,285000000.0,279000000.0,284000000.0,4582575.69495584,0.010526315789473717,108.74478247537488,-0.13597107117728346,0.0012499999999999734
Jamaica,Arabica,18688020,2002/03,540000.0,61.46206826808457,2002,Pequeño,600000.0,724020.0,660000.0,661340.0,62020.85778187851,-0.17129361067373827,62.28413259144238,-0.2857660874968727,-0.09999999999999998
